TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
1.1200,0,380.9616,no,unknown,unknown,unknown,Unknown,-9.1437,-0.6299,-0.8195,89.6731,0.0002,0.6434,0.0001,0.0000,0.6423,0.0006,56.8545,97.9154,76.9468,0.5585,0.0437,0.0006,39.9259,0.0208,0.0006,0.0130,0.0142,0.0009,0.0031,26.4378,0.0235,0.0000,98.6266,0.0079,0.1357,1.4819,0.0003,0.0052,0.8001,8.1702,0.0009,0.0006,0.0018,0.0018,0.0000,0.0000,0.0073,2.2982,2.2982,0.0018,0.0283,
1.1600,0,378.9121,no,unknown,unknown,unknown,Unknown,-10.1406,-1.1475,-1.0919,94.7849,0.0002,0.4592,0.0000,0.0000,1.0812,0.0005,61.4401,98.6729,80.1619,0.5341,0.0428,0.0006,37.1802,0.0268,0.0005,0.0105,0.0128,0.0012,0.0030,38.1250,0.0235,0.0000,98.4790,0.0066,0.1171,1.4001,0.0003,0.0054,0.8787,10.4164,0.0014,0.0006,0.0018,0.0018,0.0000,0.0000,0.0075,2.2986,2.2986,0.0018,0.0284,
1.2000,0,379.1317,no,unknown,unknown,unknown,Unknown,-9.6602,-0.1422,-0.7010,97.7473,0.0003,0.3135,0.0000,0.0000,1.6372,0.0003,66.8155,99.2755,84.4408,0.4971,0.0494,0.0006,34.9867,0.0370,0.0005,0.0081,0.0115,0.0014,0.0027,47.4880,0.0249,0.0000,98.7526,0.0077,0.0996,1.2589,0.0002,0.0055,0.9705,11.1998,0.0037,0.0005,0.0018,0.0018,0.0000,0.0000,0.0077,2.2993,2.2993,0.0018,0.0284,
1.2400,0,381.6526,no,unknown,unknown,unknown,Unknown,-11.0333,-1.3085,-0.7263,98.1216,0.0003,0.1904,0.0000,0.0000,1.9701,0.0003,69.6299,99.3412,85.1113,0.4686,0.0628,0.0007,30.7061,0.0437,0.0005,0.0057,0.0124,0.0015,0.0038,51.6811,0.0322,0.0000,98.4300,0.0102,0.0947,1.3714,0.0003,0.0045,0.8416,11.6097,0.0091,0.0005,0.0018,0.0018,0.0000,0.0000,0.0077,2.3005,2.3005,0.0018,0.0284,
1.2800,0,381.9815,no,unknown,unknown,unknown,Unknown,-13.1009,-0.6399,0.4788,97.1889,0.0004,0.1458,0.0000,0.0000,2.3007,0.0004,68.8096,99.0047,82.1993,0.4317,0.0753,0.0008,26.5079,0.0522,0.0006,0.0048,0.0144,0.0017,0.0067,55.2142,0.0418,0.0000,98.6238,0.0115,0.0611,1.2489,0.0003,0.0040,0.7761,11.8366,0.0205,0.0005,0.0018,0.0018,0.0000,0.0000,0.0078,2.3030,2.3030,0.0018,0.0285,
1.3200,0,382.0766,no,unknown,unknown,unknown,Unknown,-10.2893,-1.9060,-1.2103,92.8153,0.0007,0.1754,0.0000,0.0000,2.5732,0.0007,63.6140,97.5887,75.9042,0.3956,0.0962,0.0008,24.3143,0.0542,0.0006,0.0037,0.0173,0.0025,0.0095,57.7649,0.0597,0.0000,98.2343,0.0160,0.0453,1.1400,0.0004,0.0038,0.6459,11.9824,0.0391,0.0005,0.0018,0.0018,0.0000,0.0000,0.0078,2.3069,2.3069,0.0018,0.0285,
1.3600,0,380.6201,no,unknown,unknown,unknown,Unknown,-11.1888,-1.1926,-1.0598,94.5226,0.0008,0.1116,0.0000,0.0000,3.2013,0.0006,66.7049,97.9666,77.1243,0.3863,0.1166,0.0008,20.5889,0.0566,0.0006,0.0032,0.0206,0.0040,0.0117,62.7454,0.0686,0.0000,98.4655,0.0212,0.0641,1.4185,0.0003,0.0036,0.6211,12.0426,0.0847,0.0005,0.0018,0.0018,0.0000,0.0000,0.0079,2.3118,2.3118,0.0018,0.0285,
1.4000,0,383.4825,no,unknown,unknown,unknown,Unknown,-11.6099,-1.7160,-0.7661,79.0160,0.0019,0.1626,0.0000,0.0000,3.9162,0.0013,58.2871,92.2140,67.3025,0.3709,0.1112,0.0012,17.7722,0.0539,0.0007,0.0040,0.0220,0.0032,0.0197,67.4063,0.1141,0.0000,98.2990,0.0289,0.0446,1.3914,0.0003,0.0032,0.6272,12.0686,0.1833,0.0005,0.0018,0.0018,0.0000,0.0000,0.0079,2.3187,2.3187,0.0018,0.0286,
1.4400,0,385.3359,no,unknown,unknown,unknown,Unknown,-12.2441,-0.5638,0.3404,18.1619,0.0073,0.4085,0.0001,0.0001,5.0336,0.0049,41.7580,47.6854,49.3514,0.3686,0.1118,0.0016,14.9075,0.0541,0.0006,0.0038,0.0168,0.0032,0.0288,73.2460,0.1793,0.0000,98.6443,0.0311,0.0240,1.3155,0.0003,0.0028,0.5890,12.0775,0.1959,0.0005,0.0018,0.0018,0.0001,0.0000,0.0079,2.3272,2.3272,0.0018,0.0286,
1.4800,0,386.9046,no,unknown,unknown,unknown,Unknown,-12.7629,-0.9509,0.6139,1.6652,0.0232,0.9704,0.0002,0.0004,5.9776,0.0165,26.6269,33.0679,33.1726,0.3460,0.0988,0.0019,12.8112,0.0507,0.0006,0.0037,0.0148,0.0033,0.0475,77.3172,0.2494,0.0000,98.5368,0.0251,0.0160,1.2094,0.0004,0.0025,0.6115,12.0818,0.1978,0.0005,0.0018,0.0018,0.0004,0.0000,0.0079,2.3366,2.3366,0.0018,0.0286,
1.5200,0,384.9260,no,unknown,unknown,unknown,Unknown,-13.1257,-1.1009,1.5669,0.2759,0.0539,1.6617,0.0004,0.0009,6.8825,0.0390,16.2409,35.0688,21.7246,0.3279,0.0882,0.0025,10.6863,0.0483,0.0006,0.0034,0.0123,0.0033,0.0660,80.6895,0.2895,0.0000,98.4929,0.0254,0.0123,1.1084,0.0004,0.0022,0.5960,12.0840,0.1982,0.0005,0.0018,0.0018,0.0009,0.0000,0.0078,2.3463,2.3463,0.0018,0.0286,
1.5600,0,384.2122,no,unknown,unknown,unknown,Unknown,-12.7344,-0.9940,1.3352,0.0890,0.0869,2.2419,0.0006,0.0015,7.2279,0.0667,9.8973,34.7039,14.6648,0.2990,0.0799,0.0031,9.2616,0.0448,0.0006,0.0033,0.0138,0.0032,0.0834,81.8893,0.3497,0.0000,98.5243,0.0209,0.0094,1.0275,0.0007,0.0019,0.6311,12.0850,0.1984,0.0005,0.0018,0.0018,0.0015,0.0000,0.0078,2.3546,2.3546,0.0018,0.0287,
1.6000,0,380.4468,no,unknown,unknown,unknown,Unknown,-11.0770,-2.2039,0.5929,0.0528,0.1137,2.6533,0.0007,0.0018,7.6755,0.0862,6.8298,36.0889,11.3128,0.3174,0.0830,0.0032,8.6825,0.0411,0.0006,0.0035,0.0133,0.0040,0.0883,83.3164,0.4048,0.0000,98.1279,0.0273,0.0100,0.9601,0.0009,0.0017,0.6547,12.0854,0.1985,0.0005,0.0018,0.0018,0.0018,0.0000,0.0078,2.3605,2.3605,0.0018,0.0287,
1.6400,0,382.4041,no,unknown,unknown,unknown,Unknown,-11.9836,-1.6169,0.6765,0.0257,0.1524,3.3868,0.0009,0.0025,7.8528,0.1211,2.5544,36.3668,6.8487,0.3141,0.0769,0.0042,8.2903,0.0398,0.0006,0.0031,0.0145,0.0051,0.1156,83.8770,0.4557,0.0000,98.3318,0.0197,0.0095,0.9843,0.0012,0.0015,0.6617,12.0856,0.1986,0.0005,0.0018,0.0018,0.0025,0.0000,0.0078,2.3658,2.3658,0.0018,0.0287,
1.6800,0,386.6143,no,unknown,unknown,unknown,Unknown,-12.5110,-2.1306,0.2359,0.0154,0.1716,3.8661,0.0012,0.0031,7.4476,0.1498,-0.3108,33.8279,3.8827,0.3756,0.0722,0.0050,8.0388,0.0371,0.0007,0.0028,0.0172,0.0047,0.1377,82.5675,0.3698,0.0000,98.1546,0.0228,0.0067,1.0192,0.0012,0.0013,0.5257,12.0856,0.1986,0.0005,0.0018,0.0018,0.0031,0.0000,0.0077,2.3699,2.3699,0.0018,0.0288,
1.7200,0,384.6924,no,unknown,unknown,unknown,Unknown,-12.1170,-1.3347,1.1016,0.0107,0.1755,3.8170,0.0015,0.0035,6.8295,0.1726,-1.8883,29.3320,1.8954,0.3909,0.0691,0.0056,7.2013,0.0354,0.0009,0.0030,0.0191,0.0051,0.1533,80.4883,0.3011,0.0000,98.4219,0.0291,0.0063,1.0730,0.0013,0.0012,0.4187,12.0856,0.1986,0.0005,0.0018,0.0018,0.0035,0.0000,0.0077,2.3733,2.3733,0.0018,0.0288,
1.7600,0,385.6046,no,unknown,unknown,unknown,Unknown,-12.0725,-2.5121,1.2118,0.0090,0.1632,3.5684,0.0017,0.0038,6.1131,0.1820,-2.4138,24.7923,1.0699,0.3876,0.0606,0.0059,6.5961,0.0333,0.0010,0.0034,0.0189,0.0059,0.1648,77.8678,0.2182,0.0000,98.0113,0.0338,0.0050,1.0987,0.0013,0.0011,0.3134,12.0855,0.1986,0.0006,0.0018,0.0018,0.0038,0.0000,0.0076,2.3759,2.3759,0.0018,0.0288,
1.8000,0,385.5729,no,unknown,unknown,unknown,Unknown,-12.1017,-0.8350,2.5992,0.0079,0.1453,3.2040,0.0020,0.0039,5.3655,0.1878,-2.5316,20.0841,0.6113,0.4457,0.0509,0.0063,5.9001,0.0286,0.0012,0.0029,0.0207,0.0067,0.1357,74.7653,0.1885,0.0000,98.5699,0.0439,0.0036,1.0745,0.0013,0.0009,0.2449,12.0855,0.1987,0.0006,0.0018,0.0018,0.0039,0.0000,0.0074,2.3782,2.3782,0.0018,0.0288,
1.8400,0,384.0594,no,unknown,unknown,unknown,Unknown,-12.7985,-1.4275,2.9173,0.0073,0.1358,2.8075,0.0021,0.0040,4.9768,0.1896,-2.3164,17.0997,0.3810,0.5456,0.0415,0.0074,4.9515,0.0265,0.0014,0.0030,0.0179,0.0036,0.1356,72.9484,0.1171,0.0000,98.3928,0.0596,0.0029,1.2001,0.0012,0.0008,0.1949,12.0854,0.1987,0.0007,0.0018,0.0018,0.0040,0.0000,0.0073,2.3803,2.3803,0.0018,0.0288,
1.8800,0,384.0233,no,unknown,unknown,unknown,Unknown,-12.0336,-1.5360,3.4403,0.0071,0.1353,2.6238,0.0022,0.0041,4.9196,0.1911,-2.1639,16.2374,0.2292,0.5448,0.0365,0.0074,4.3468,0.0280,0.0015,0.0030,0.0159,0.0029,0.1270,72.6838,0.0812,0.0000,98.3581,0.0599,0.0022,1.2012,0.0013,0.0007,0.1831,12.0853,0.1988,0.0007,0.0018,0.0018,0.0041,0.0000,0.0070,2.3825,2.3825,0.0018,0.0288,
